DATE,DGS6MO,DTB1YR,DGS5,DGS10
2017/1/3,0.65,0.87,1.94,2.45
2017/1/4,0.63,0.85,1.94,2.46
2017/1/5,0.62,0.81,1.86,2.37
2017/1/6,0.61,0.83,1.92,2.42
2017/1/9,0.6,0.8,1.89,2.38
2017/1/10,0.6,0.8,1.89,2.38
2017/1/11,0.6,0.8,1.89,2.38
2017/1/12,0.59,0.79,1.87,2.36
2017/1/13,0.61,0.79,1.9,2.4
2017/1/17,0.62,0.77,1.84,2.33
2017/1/18,0.63,0.79,1.93,2.42
2017/1/19,0.62,0.8,1.97,2.47
2017/1/20,0.62,0.79,1.95,2.48
2017/1/23,0.59,0.76,1.88,2.41
2017/1/24,0.62,0.77,1.94,2.47
2017/1/25,0.61,0.78,1.99,2.53
2017/1/26,0.62,0.78,1.95,2.51
2017/1/27,0.63,0.78,1.94,2.49
2017/1/30,0.63,0.77,1.94,2.49
2017/1/31,0.64,0.82,1.9,2.45
2017/2/1,0.65,0.81,1.93,2.48
2017/2/2,0.64,0.82,1.92,2.48
2017/2/3,0.63,0.8,1.93,2.49
2017/2/6,0.62,0.77,1.86,2.42
2017/2/7,0.63,0.78,1.85,2.4
2017/2/8,0.63,0.77,1.81,2.34
2017/2/9,0.64,0.78,1.88,2.4
2017/2/10,0.64,0.79,1.89,2.41
2017/2/13,0.63,0.79,1.92,2.43
2017/2/14,0.66,0.81,1.98,2.47
2017/2/15,0.67,0.83,2.01,2.51
2017/2/16,0.66,0.79,1.95,2.45
2017/2/17,0.66,0.79,1.92,2.42
2017/2/21,0.69,0.79,1.93,2.43
2017/2/22,0.68,0.78,1.92,2.42
2017/2/23,0.66,0.77,1.87,2.38
2017/2/24,0.65,0.77,1.8,2.31
2017/2/27,0.68,0.77,1.87,2.36
2017/2/28,0.69,0.86,1.89,2.36
2017/3/1,0.79,0.9,1.99,2.46
2017/3/2,0.84,0.96,2.03,2.49
2017/3/3,0.84,0.96,2.02,2.49
2017/3/6,0.83,0.95,2.02,2.49
2017/3/7,0.87,0.99,2.05,2.52
2017/3/8,0.86,1,2.08,2.57
2017/3/9,0.88,1.01,2.13,2.6
2017/3/10,0.89,1,2.11,2.58
2017/3/13,0.93,1.03,2.14,2.62
2017/3/14,0.93,1.03,2.13,2.6
2017/3/15,0.89,0.99,2.02,2.51
2017/3/16,0.89,0.98,2.05,2.53
2017/3/17,0.87,0.97,2.03,2.5
2017/3/20,0.89,0.97,2,2.47
2017/3/21,0.91,0.97,1.96,2.43
2017/3/22,0.9,0.95,1.95,2.4
2017/3/23,0.9,0.95,1.95,2.41
2017/3/24,0.89,0.96,1.93,2.4
2017/3/27,0.91,0.96,1.93,2.38
2017/3/28,0.92,1.01,1.97,2.42
2017/3/29,0.92,1.02,1.93,2.39
2017/3/30,0.91,1.01,1.96,2.42
2017/3/31,0.91,1.01,1.93,2.4
2017/4/3,0.92,1,1.88,2.35
2017/4/4,0.92,1,1.88,2.36
2017/4/5,0.93,1,1.85,2.34
2017/4/6,0.94,1.02,1.87,2.34
2017/4/7,0.95,1.05,1.92,2.38
2017/4/10,0.97,1.04,1.91,2.37
2017/4/11,0.94,1.02,1.84,2.32
2017/4/12,0.95,1.01,1.81,2.28
2017/4/13,0.94,1,1.77,2.24
2017/4/17,0.94,1.01,1.79,2.26
2017/4/18,0.94,0.99,1.71,2.18
2017/4/19,0.94,0.99,1.74,2.21
2017/4/20,0.93,0.98,1.78,2.24
2017/4/21,0.92,0.96,1.77,2.24
2017/4/24,0.96,0.99,1.81,2.28
2017/4/25,0.98,1.07,1.87,2.35
2017/4/26,0.99,1.05,1.84,2.32
2017/4/27,0.98,1.04,1.81,2.3
2017/4/28,0.99,1.05,1.81,2.29
2017/5/1,0.98,1.06,1.84,2.33
2017/5/2,0.99,1.05,1.81,2.29
2017/5/3,1,1.07,1.86,2.33
2017/5/4,1,1.08,1.88,2.36
2017/5/5,1.01,1.07,1.89,2.36
2017/5/8,1.02,1.09,1.91,2.39
2017/5/9,1.04,1.11,1.94,2.42
2017/5/10,1.04,1.1,1.94,2.41
2017/5/11,1.04,1.1,1.93,2.39
2017/5/12,1.03,1.08,1.85,2.33
2017/5/15,1.02,1.08,1.86,2.34
2017/5/16,1.04,1.08,1.86,2.33
2017/5/17,1,1.05,1.76,2.22
2017/5/18,1.02,1.06,1.78,2.23
2017/5/19,1.03,1.07,1.79,2.23
2017/5/22,1.05,1.08,1.8,2.25
2017/5/23,1.08,1.12,1.84,2.29
2017/5/24,1.07,1.15,1.79,2.26
2017/5/25,1.08,1.13,1.78,2.25
2017/5/26,1.08,1.14,1.79,2.25
2017/5/30,1.07,1.13,1.76,2.21
2017/5/31,1.08,1.14,1.75,2.21
2017/6/1,1.07,1.13,1.76,2.21
2017/6/2,1.06,1.13,1.71,2.15
2017/6/5,1.06,1.13,1.74,2.18
2017/6/6,1.08,1.13,1.71,2.14
2017/6/7,1.09,1.14,1.74,2.18
2017/6/8,1.11,1.16,1.75,2.19
2017/6/9,1.13,1.17,1.77,2.21
2017/6/12,1.09,1.16,1.78,2.21
2017/6/13,1.12,1.18,1.79,2.21
2017/6/14,1.12,1.17,1.74,2.15
2017/6/15,1.13,1.18,1.76,2.16
2017/6/16,1.13,1.18,1.75,2.16
2017/6/19,1.13,1.18,1.8,2.19
2017/6/20,1.14,1.19,1.77,2.16
2017/6/21,1.12,1.19,1.78,2.16
2017/6/22,1.1,1.19,1.76,2.15
2017/6/23,1.1,1.18,1.77,2.15
2017/6/26,1.1,1.17,1.77,2.14
2017/6/27,1.13,1.19,1.83,2.21
2017/6/28,1.12,1.18,1.81,2.22
2017/6/29,1.14,1.2,1.85,2.27
2017/6/30,1.14,1.21,1.89,2.31
2017/7/3,1.13,1.21,1.93,2.35
2017/7/5,1.15,1.21,1.92,2.33
2017/7/6,1.14,1.2,1.94,2.37
2017/7/7,1.14,1.19,1.95,2.39
2017/7/10,1.13,1.19,1.93,2.38
2017/7/11,1.14,1.17,1.92,2.37
2017/7/12,1.13,1.18,1.88,2.33
2017/7/13,1.14,1.19,1.89,2.35
2017/7/14,1.12,1.18,1.87,2.33
2017/7/17,1.1,1.18,1.86,2.31
2017/7/18,1.11,1.16,1.82,2.27
2017/7/19,1.12,1.2,1.83,2.27
2017/7/20,1.12,1.19,1.82,2.27
2017/7/21,1.1,1.19,1.81,2.24
2017/7/24,1.12,1.2,1.83,2.26
2017/7/25,1.15,1.21,1.9,2.33
2017/7/26,1.14,1.2,1.83,2.29
2017/7/27,1.13,1.19,1.84,2.32
2017/7/28,1.13,1.19,1.83,2.3
2017/7/31,1.13,1.2,1.84,2.3
2017/8/1,1.15,1.19,1.8,2.26
